Date,Mid Yield To Maturity
2020-06-30,0.266
2020-06-29,0.259
2020-06-26,0.244
2020-06-25,0.246
2020-06-24,0.255
2020-06-23,0.27
2020-06-22,0.259
2020-06-19,0.285
2020-06-18,0.304
2020-06-17,0.343
2020-06-16,0.32
2020-06-15,0.343
2020-06-12,0.375
2020-06-11,0.405
2020-06-10,0.451
2020-06-09,0.408
2020-06-08,0.324
2020-06-05,0.334
2020-06-04,0.336
2020-06-03,0.396
2020-06-02,0.342
2020-06-01,0.363
2020-05-29,0.35
2020-05-28,0.367
2020-05-27,0.427
2020-05-26,0.476
2020-05-25,0.46
2020-05-22,0.482
2020-05-21,0.486
2020-05-20,0.495
2020-05-19,0.501
2020-05-18,0.585
2020-05-15,0.612
2020-05-14,0.598
2020-05-13,0.591
2020-05-12,0.645
2020-05-11,0.673
2020-05-08,0.655
2020-05-07,0.688
2020-05-06,0.718
2020-05-05,0.648
2020-05-04,0.63
2020-04-30,0.591
2020-04-29,0.673
2020-04-28,0.722
2020-04-27,0.765
2020-04-24,0.827
2020-04-23,0.922
2020-04-22,1
2020-04-21,0.878
2020-04-20,0.765
2020-04-17,0.687
2020-04-16,0.702
2020-04-15,0.736
2020-04-14,0.716
2020-04-09,0.659
2020-04-08,0.705
2020-04-07,0.681
2020-04-06,0.587
2020-04-03,0.605
2020-04-02,0.569
2020-04-01,0.562
2020-03-31,0.529
2020-03-30,0.459
2020-03-27,0.396
2020-03-26,0.424
2020-03-25,0.726
2020-03-24,0.749
2020-03-23,0.613
2020-03-20,0.603
2020-03-19,0.749
2020-03-18,1.074
2020-03-17,0.92
2020-03-16,0.732
2020-03-13,0.508
2020-03-12,0.384
2020-03-11,0.154
2020-03-10,0.233
2020-03-09,0.155
2020-03-06,0.1
2020-03-05,0.094
2020-03-04,0.059
2020-03-03,0.069
2020-03-02,0.169
2020-02-28,0.17
2020-02-27,0.191
2020-02-26,0.131
2020-02-25,0.099
2020-02-24,0.094
2020-02-21,0.105
2020-02-20,0.101
2020-02-19,0.143
2020-02-18,0.158
2020-02-17,0.155
2020-02-14,0.16
2020-02-13,0.163
2020-02-12,0.174
2020-02-11,0.184
2020-02-10,0.178
2020-02-07,0.195
2020-02-06,0.205
2020-02-05,0.208
2020-02-04,0.183
2020-02-03,0.152
2020-01-31,0.149
2020-01-30,0.181
2020-01-29,0.209
2020-01-28,0.219
2020-01-27,0.192
2020-01-24,0.256
2020-01-23,0.273
2020-01-22,0.321
2020-01-21,0.331
2020-01-20,0.352
2020-01-17,0.37
2020-01-16,0.375
2020-01-15,0.361
2020-01-14,0.384
2020-01-13,0.379
2020-01-10,0.343
2020-01-09,0.355
2020-01-08,0.34
2020-01-07,0.302
2020-01-06,0.294
2020-01-03,0.292
2020-01-02,0.347
2019-12-30,0.369
2019-12-27,0.311
2019-12-24,0.332
2019-12-23,0.335
2019-12-20,0.347
2019-12-19,0.353
2019-12-18,0.332
2019-12-17,0.304
2019-12-16,0.328
2019-12-13,0.32
2019-12-12,0.358
2019-12-11,0.327
2019-12-10,0.381
2019-12-09,0.378
2019-12-06,0.417
2019-12-05,0.41
2019-12-04,0.369
2019-12-03,0.333
2019-12-02,0.41
2019-11-29,0.337
2019-11-28,0.334
2019-11-27,0.32
2019-11-26,0.309
2019-11-25,0.329
2019-11-22,0.329
2019-11-21,0.372
2019-11-20,0.346
2019-11-19,0.348
2019-11-18,0.327
2019-11-15,0.345
2019-11-14,0.366
2019-11-13,0.353
2019-11-12,0.346
2019-11-11,0.331
2019-11-08,0.29
2019-11-07,0.29
2019-11-06,0.205
2019-11-05,0.237
2019-11-04,0.222
2019-11-01,0.189
2019-10-31,0.158
2019-10-30,0.201
2019-10-29,0.202
2019-10-28,0.223
2019-10-25,0.188
2019-10-24,0.151
2019-10-23,0.172
2019-10-22,0.173
2019-10-21,0.197
2019-10-18,0.157
2019-10-17,0.145
2019-10-16,0.165
2019-10-15,0.138
2019-10-14,0.13
2019-10-11,0.147
2019-10-10,0.143
2019-10-09,0.078
2019-10-08,0.049
2019-10-07,0.066
2019-10-04,0.055
2019-10-03,0.06
2019-10-02,0.09
2019-10-01,0.071
2019-09-30,0.07
2019-09-27,0.076
2019-09-26,0.066
2019-09-25,0.053
2019-09-24,0.034
2019-09-23,0.064
2019-09-20,0.151
2019-09-19,0.159
2019-09-18,0.137
2019-09-17,0.196
2019-09-16,0.161
2019-09-13,0.201
2019-09-12,0.123
2019-09-11,0.156
2019-09-10,0.157
2019-09-09,0.118
2019-09-06,0.075
2019-09-05,0.135
2019-09-04,0.051
2019-09-03,0.014
2019-09-02,0.019
2019-08-30,0.009
2019-08-29,0.003
2019-08-28,-0.027
2019-08-27,-0.019
2019-08-26,0.028
2019-08-23,0.033
2019-08-22,0.034
2019-08-21,-0.011
2019-08-20,-0.014
2019-08-19,0.023
2019-08-16,-0.029
2019-08-15,-0.074
2019-08-14,0.038
2019-08-13,0.097
2019-08-12,0.117
2019-08-09,0.15
2019-08-08,0.112
2019-08-07,0.057
2019-08-06,0.112
2019-08-05,0.121
2019-08-02,0.119
2019-08-01,0.176
2019-07-31,0.165
2019-07-30,0.235
2019-07-29,0.239
2019-07-26,0.247
2019-07-25,0.235
2019-07-24,0.224
2019-07-23,0.276
2019-07-22,0.272
2019-07-19,0.26
2019-07-18,0.277
2019-07-17,0.322
2019-07-16,0.364
2019-07-15,0.38
2019-07-12,0.435
2019-07-11,0.349
2019-07-10,0.312
2019-07-09,0.291
2019-07-08,0.307
2019-07-05,0.248
2019-07-04,0.177
2019-07-03,0.147
2019-07-02,0.223
2019-07-01,0.269
2019-06-28,0.325
2019-06-27,0.327
2019-06-26,0.327
2019-06-25,0.31
2019-06-24,0.338
2019-06-21,0.363
2019-06-20,0.321
2019-06-19,0.327
2019-06-18,0.311
2019-06-17,0.446
2019-06-14,0.42
2019-06-13,0.456
2019-06-12,0.484
2019-06-11,0.48
2019-06-10,0.498
2019-06-07,0.444
2019-06-06,0.502
2019-06-05,0.522
2019-06-04,0.556
2019-06-03,0.582
2019-05-31,0.604
2019-05-30,0.652
2019-05-29,0.621
2019-05-28,0.674
2019-05-27,0.699
2019-05-24,0.712
2019-05-23,0.737
2019-05-22,0.751
2019-05-21,0.758
2019-05-20,0.77
2019-05-17,0.759
2019-05-16,0.79
2019-05-15,0.842
2019-05-14,0.855
2019-05-13,0.876
2019-05-10,0.867
2019-05-09,0.874
2019-05-08,0.844
2019-05-07,0.85
2019-05-06,0.869
2019-05-03,0.869
2019-05-02,0.885
2019-04-30,0.886
2019-04-29,0.898
2019-04-26,0.907
2019-04-25,0.974
2019-04-24,0.956
2019-04-23,1.002
2019-04-18,0.954
2019-04-17,0.993
2019-04-16,0.971
2019-04-15,0.968
2019-04-12,0.934
2019-04-11,0.892
2019-04-10,0.931
2019-04-09,0.96
2019-04-08,0.973
2019-04-05,0.991
2019-04-04,0.997
2019-04-03,1.026
2019-04-02,0.999
2019-04-01,1.028
2019-03-29,0.982
2019-03-28,0.977
2019-03-27,0.944
2019-03-26,0.981
2019-03-25,0.989
2019-03-22,0.958
2019-03-21,0.988
2019-03-20,1.055
2019-03-19,1.062
2019-03-18,1.045
2019-03-15,1.08
2019-03-14,1.082
2019-03-13,1.077
2019-03-12,1.059
2019-03-11,1.045
2019-03-08,1.046
2019-03-07,1.036
2019-03-06,1.105
2019-03-05,1.145
2019-03-04,1.162
2019-03-01,1.186
2019-02-28,1.166
2019-02-27,1.151
2019-02-26,1.131
2019-02-25,1.155
2019-02-22,1.165
2019-02-21,1.194
2019-02-20,1.194
2019-02-19,1.2
2019-02-18,1.22
2019-02-15,1.229
2019-02-14,1.235
2019-02-13,1.23
2019-02-12,1.234
2019-02-11,1.238
2019-02-08,1.229
2019-02-07,1.236
2019-02-06,1.251
2019-02-05,1.249
2019-02-04,1.236
2019-02-01,1.217
2019-01-31,1.195
2019-01-30,1.25
2019-01-29,1.233
2019-01-28,1.219
2019-01-25,1.227
2019-01-24,1.236
2019-01-23,1.309
2019-01-22,1.331
2019-01-21,1.36
2019-01-18,1.339
2019-01-17,1.356
2019-01-16,1.369
2019-01-15,1.384
2019-01-14,1.411
2019-01-11,1.437
2019-01-10,1.441
2019-01-09,1.483
2019-01-08,1.506
2019-01-07,1.491
2019-01-04,1.463
2019-01-03,1.418
2019-01-02,1.389
2018-12-31,1.404
2018-12-28,1.405
2018-12-27,1.373
2018-12-24,1.387
2018-12-21,1.388
2018-12-20,1.363
2018-12-19,1.367
2018-12-18,1.365
2018-12-17,1.388
2018-12-14,1.4
2018-12-13,1.414
2018-12-12,1.417
2018-12-11,1.422
2018-12-10,1.43
2018-12-07,1.442
2018-12-06,1.447
2018-12-05,1.446
2018-12-04,1.471
2018-12-03,1.477
2018-11-30,1.484
2018-11-29,1.493
2018-11-28,1.53
2018-11-27,1.539
2018-11-26,1.549
2018-11-23,1.622
2018-11-22,1.627
2018-11-21,1.62
2018-11-20,1.631
2018-11-19,1.639
2018-11-16,1.619
2018-11-15,1.616
2018-11-14,1.605
2018-11-13,1.592
2018-11-12,1.585
2018-11-09,1.584
2018-11-08,1.595
2018-11-07,1.587
2018-11-06,1.566
2018-11-05,1.554
2018-11-02,1.559
2018-11-01,1.554
2018-10-31,1.539
2018-10-30,1.558
2018-10-29,1.536
2018-10-26,1.562
2018-10-25,1.58
2018-10-24,1.619
2018-10-23,1.663
2018-10-22,1.694
2018-10-19,1.73
2018-10-18,1.722
2018-10-17,1.641
2018-10-16,1.635
2018-10-15,1.67
2018-10-12,1.663
2018-10-11,1.633
2018-10-10,1.606
2018-10-09,1.592
2018-10-08,1.582
2018-10-05,1.571
2018-10-04,1.556
2018-10-03,1.525
2018-10-02,1.526
2018-10-01,1.517
2018-09-28,1.487
2018-09-27,1.494
2018-09-26,1.508
2018-09-25,1.509
2018-09-24,1.509
2018-09-21,1.481
2018-09-20,1.497
2018-09-19,1.51
2018-09-18,1.489
2018-09-17,1.469
2018-09-14,1.468
2018-09-13,1.453
2018-09-12,1.446
2018-09-11,1.453
2018-09-10,1.438
2018-09-07,1.444
2018-09-06,1.435
2018-09-05,1.432
2018-09-04,1.413
2018-09-03,1.437
2018-08-31,1.456
2018-08-30,1.457
2018-08-29,1.449
2018-08-28,1.439
2018-08-27,1.389
2018-08-24,1.373
2018-08-23,1.355
2018-08-22,1.363
2018-08-21,1.35
2018-08-20,1.371
2018-08-17,1.431
2018-08-16,1.424
2018-08-15,1.433
2018-08-14,1.393
2018-08-13,1.441
2018-08-10,1.389
2018-08-09,1.381
2018-08-08,1.393
2018-08-07,1.382
2018-08-06,1.387
2018-08-03,1.409
2018-08-02,1.446
2018-08-01,1.438
2018-07-31,1.38
2018-07-30,1.409
2018-07-27,1.353
2018-07-26,1.346
2018-07-25,1.334
2018-07-24,1.355
2018-07-23,1.365
2018-07-20,1.36
2018-07-19,1.328
2018-07-18,1.329
2018-07-17,1.3
2018-07-16,1.33
2018-07-13,1.312
2018-07-12,1.337
2018-07-11,1.352
2018-07-10,1.328
2018-07-09,1.343
2018-07-06,1.362
2018-07-05,1.379
2018-07-04,1.347
2018-07-03,1.339
2018-07-02,1.34
2018-06-29,1.37
2018-06-28,1.419
2018-06-27,1.409
2018-06-26,1.449
2018-06-25,1.411
2018-06-22,1.404
2018-06-21,1.385
2018-06-20,1.293
2018-06-19,1.291
2018-06-18,1.303
2018-06-15,1.35
2018-06-14,1.397
2018-06-13,1.457
2018-06-12,1.477
2018-06-11,1.483
2018-06-08,1.508
2018-06-07,1.499
2018-06-06,1.525
2018-06-05,1.418
2018-06-04,1.349
2018-06-01,1.451
2018-05-31,1.522
2018-05-30,1.556
2018-05-29,1.643
2018-05-28,1.546
2018-05-25,1.49
2018-05-24,1.426
2018-05-23,1.475
2018-05-22,1.486
2018-05-21,1.539
2018-05-18,1.468
2018-05-17,1.436
2018-05-16,1.439
2018-05-15,1.38
2018-05-14,1.354
2018-05-11,1.295
2018-05-10,1.333
2018-05-09,1.323
2018-05-08,1.338
2018-05-07,1.293
2018-05-04,1.317
2018-05-03,1.273
