Date,H15T10Y Index  (R2),CL1 Comdty  (L3),HG1 Comdty  (R4),SPX Index  (R1),ITRX XOVER CDSI GEN 5Y Corp  (R1),DXY Curncy  (L2),JPY Curncy  (R3),XAU Curncy  (R1),CESIUSD Index  (L4),GTCNY10Y Govt  (R1),USSO1 Curncy  (L1)
2020-07-08,,40.95,281,3162.9,365.34,96.458,107.22,1810.2,222,3.055,0.033
2020-07-07,0.65,40.62,278.75,3145.32,364.601,96.881,107.52,1794.86,221.3,3.026,0.036
2020-07-06,0.69,40.63,276.6,3179.72,355.358,96.725,107.35,1784.68,213.6,3.014,0.038
2020-07-03,,,,,373.228,97.172,107.51,1775.95,,2.896,0.036
2020-07-02,0.68,40.65,273.35,3130.01,368.538,97.317,107.5,1775.38,188.1,2.858,0.034
2020-07-01,0.69,39.82,271.7,3115.86,369.67,97.196,107.47,1770.09,184.7,2.842,0.034
2020-06-30,0.66,39.27,271.35,3100.29,382.277,97.391,107.93,1780.96,181.2,2.838,0.027
2020-06-29,0.64,39.7,267.95,3053.24,396.308,97.536,107.58,1772.82,167.4,2.85,0.027
2020-06-26,0.64,38.49,265.9,3009.05,407.862,97.433,107.22,1771.29,162.1,,0.033
2020-06-25,0.68,38.72,266.3,3083.76,397.646,97.429,107.19,1763.79,168.2,,0.0396
2020-06-24,0.69,38.01,265.05,3050.33,398.988,97.148,107.04,1761.17,157.1,2.864,0.0428
2020-06-23,0.72,40.37,265.85,3131.29,378.412,96.646,106.52,1768.41,155.7,2.908,0.044
2020-06-22,0.71,40.46,265.25,3117.86,392.308,97.039,106.91,1754.43,145.4,2.911,0.044
2020-06-19,0.7,39.75,261.1,3097.74,385.863,97.623,106.87,1743.87,128.6,2.872,0.048
2020-06-18,0.71,38.84,258.8,3115.34,384.305,97.421,106.97,1722.93,126.7,2.856,0.049
2020-06-17,0.74,37.96,258.95,3113.49,373.082,97.158,107.01,1726.95,113.4,2.88,0.05
2020-06-16,0.75,38.38,256.45,3124.74,371.264,96.958,107.32,1726.53,119.3,2.846,0.055
