Dates,EUR003M Index,EUSWEC Curncy,EOUSFFC Curncy,US0003M Index,GTFRF3M Govt,GTITL3M Govt,ASWESHTZ Curncy,ER1 Comdty
19/05/2020,0.017,0.0017,0.5,-0.0025,0.009,-0.051,-2.15,0
18/05/2020,-0.01,-0.0008,0.5,-0.00387,0.008,-0.021,-2.95,0.01
15/05/2020,-0.004,0.0008,1,-0.00513,0.001,-0.025,0.4,0
14/05/2020,-0.009,0.001,-0.75,-0.00675,-0.003,-0.012,0.1,0
13/05/2020,-0.008,0.0028,-0.5,-0.03162,0.002,-0.004,0.9,0.015
12/05/2020,0.013,-0.0025,0.25,-0.0095,0.002,-0.032,-2.3,-0.02
11/05/2020,-0.012,0.0017,1.5,-0.00113,-0.064,-0.03,-2.05,-0.005
08/05/2020,0.012,0,-0.75,-0.013,0.034,-0.002,0.8,-0.005
07/05/2020,0.008,-0.0008,2.25,-0.013,0.006,-0.002,1.3,0
06/05/2020,0.031,0.0045,-1.5,-0.02637,0.023,-0.018,-3.05,-0.03
05/05/2020,-0.011,0.0013,-1,-0.02688,-0.022,-0.008,3.7,-0.025
04/05/2020,-0.013,0,0.25,-0.04,-0.007,-0.019,0.45,0.005
01/05/2020,-0.012,0.001,-0.25,-0.01525,0,0,2.75,0
30/04/2020,-0.012,0.001,0,-0.1305,-0.008,-0.027,2.75,0.02
29/04/2020,-0.029,0.0038,3.75,-0.0735,-0.017,-0.039,1.85,0.025
28/04/2020,-0.009,-0.0052,2,-0.08062,-0.011,-0.123,0.2,0.045
27/04/2020,-0.031,0.0161,1,-0.04638,-0.033,0.033,-3,0.005
24/04/2020,-0.031,-0.0282,0,-0.10425,0.002,-0.001,-1.4,0.08
23/04/2020,0.029,-0.0025,4.75,-0.02887,0.003,-0.045,0.7,0.035
22/04/2020,0.043,-0.0018,1.25,-0.02275,-0.003,0.004,-1.8,-0.045
21/04/2020,0.013,0.0001,0.25,-0.05463,0.021,0.011,2.2,-0.04
20/04/2020,-0.003,0.0017,1.25,-0.01137,0.002,0.027,0,-0.015
17/04/2020,-0.019,-0.001,1.25,-0.02625,0.006,-0.035,1,0.005
16/04/2020,0.026,-0.0003,0,0.00037,0.005,-0.065,3.7,-0.02
15/04/2020,-0.002,0.0023,2.5,-0.04125,-0.005,0.024,3.7,-0.02
14/04/2020,-0.028,-0.003,11,-0.04275,0.083,0.006,-1.5,0.035
13/04/2020,0.034,0,0.5,-0.0925,0,0,-1.5,0
10/04/2020,0.034,0,-1.75,-0.0925,0,0.001,-1.5,0.08
09/04/2020,0.034,0,8.75,-0.0925,-0.011,0.019,-1.5,0.08
08/04/2020,0.039,-0.001,1.75,-0.0085,-0.045,0.111,-1.5,-0.055
07/04/2020,0.025,0.0012,-2.75,-0.0325,0.009,-0.018,-0.1,-0.06
06/04/2020,0.023,-0.0022,-5.5,-0.035,-0.003,-0.031,-1.4,-0.03
03/04/2020,-0.005,-0.0008,0.5,0.01438,0.013,0.091,0.8,-0.015
02/04/2020,0.007,-0.0012,18.25,-0.0635,-0.003,0.002,-0.3,-0.01
01/04/2020,0.02,0.0058,12.25,-0.014,-0.028,0.019,-2.7,-0.015
31/03/2020,-0.01,0.0112,10,0.01712,-0.018,0.054,-1,0.005
30/03/2020,0,0.0042,5.5,-0.01675,0.029,0.021,1.3,0.005
27/03/2020,-0.004,0.0028,-7.75,0.0755,-0.016,0.11,4.9,0
26/03/2020,0.02,0.005,7,0.10763,-0.001,-0.328,1,0
25/03/2020,0.004,0.0068,1.75,0.03462,0.024,-0.038,-0.6,-0.02
24/03/2020,-0.004,0.009,5.25,0.01675,0.056,0.074,-3.5,0
23/03/2020,0.002,-0.0018,-12.25,0.0115,-0.006,-0.113,2.1,0.005
20/03/2020,0.022,0.002,46.25,0.009,-0.003,-0.107,1.8,0.01
19/03/2020,0.015,0.0013,-6.25,0.07938,0.084,-0.336,-10.5,-0.055
18/03/2020,0,0.0087,-16.75,0.06387,0.049,-0.192,-2.3,-0.01
17/03/2020,0.002,0.017,31.75,0.1625,-0.066,0.432,-4.9,0.02
16/03/2020,0.018,-0.023,-20.25,0.04625,0.07,0.402,-3.4,-0.01
13/03/2020,0.061,0.012,-65.25,0.10263,0.021,0.113,-0.1,-0.01
12/03/2020,-0.016,0.0827,-7.25,-0.032,0.004,0.098,6.5,-0.075
11/03/2020,0.009,-0.0397,-5.75,-0.01163,-0.057,-0.016,-2.1,0.015
10/03/2020,-0.014,0.018,13,0.016,0.003,-0.004,-0.3,-0.01
09/03/2020,0.005,-0.032,-20.25,-0.12787,-0.019,0.112,9.2,0.015
06/03/2020,-0.004,-0.0078,-0.75,-0.10288,-0.003,0.023,-3.65,-0.005
05/03/2020,-0.001,0.0008,-9,-0.00175,-0.004,-0.001,6.3,-0.02
04/03/2020,-0.005,0,-2.75,-0.31362,-0.002,-0.005,1.6,0
03/03/2020,-0.029,0.0022,2,0.0605,-0.01,-0.016,-1.45,0.015
02/03/2020,-0.01,-0.0412,-0.75,-0.209,-0.023,0.011,0.2,0.04
28/02/2020,0.001,-0.0195,-10.25,-0.11763,-0.017,0,0.5,0.01
27/02/2020,-0.002,-0.0055,-0.75,-0.03287,0.001,0.033,2.7,0.01
26/02/2020,-0.006,-0.004,-3.25,-0.02438,-0.007,0.002,0.1,0.005
25/02/2020,-0.003,-0.01,2.25,-0.009,0.007,-0.003,0.15,0.01
24/02/2020,0.001,-0.0062,-2.25,-0.03262,-0.009,0.008,1.95,0.005
21/02/2020,-0.005,0.0002,0.75,-0.0035,0.004,-0.002,0.1,0
20/02/2020,-0.008,0.001,-0.25,-0.01325,-0.003,-0.001,0.25,0
19/02/2020,0.001,0.0015,2,0.00137,0.004,0.002,0.3,0
18/02/2020,0.01,0.0005,-2,0.00175,0.003,-0.001,-0.45,0
17/02/2020,0,0,-0.25,0.00113,0.007,0,-0.45,-0.005
14/02/2020,-0.002,0,-1.25,0.00012,0.013,0,0.6,0
13/02/2020,0.002,-0.0005,0,-0.01212,-0.02,0,0.3,0
12/02/2020,-0.004,0.0005,0.25,-0.0035,0.01,0.004,0.05,0.005
11/02/2020,-0.012,-0.001,0.75,-0.00588,0.006,-0.012,-0.6,0.005
10/02/2020,0.003,-0.001,-1,-0.01775,0.008,0.007,-0.5,0.005
07/02/2020,-0.001,-0.0005,-1.25,-0.00325,-0.011,-0.004,0.2,-0.005
06/02/2020,0.001,-0.0005,0.25,-0.0075,0.001,-0.003,-1,0
05/02/2020,-0.004,0.001,2.25,0.00425,-0.007,0.002,-0.15,-0.005
04/02/2020,-0.003,0.003,1.25,-0.00362,-0.003,-0.009,-0.65,0
03/02/2020,0,0,-0.5,-0.01013,-0.013,0.008,0.05,0
31/01/2020,0.005,-0.003,-0.5,-0.01212,-0.005,0.004,0.4,0
30/01/2020,0.001,-0.001,2,-0.01388,-0.002,0.004,0.85,0.005
29/01/2020,0.002,-0.0012,1,0.00763,0,0.012,0,0
28/01/2020,-0.003,-0.0008,0.75,-0.005,-0.003,0.005,0,0.01
27/01/2020,-0.012,-0.003,-0.75,-0.02088,0.001,-0.029,-0.15,0.01
24/01/2020,0,0,-0.25,0.00125,-0.003,0.003,0.55,0.005
23/01/2020,0.004,0,0.25,-0.00675,0.003,-0.008,0.4,0
22/01/2020,0.002,-0.001,-0.25,-0.00537,-0.003,0.019,0.4,-0.005
