Date,USGG10YR Index  (L1),WMMFAMAC Index  (R1),WMMFAMNA Index  (R1),GDGCAFJP Index  (L2),CL1 Comdty  (R3),HG1 Comdty  (L3),FWISUS55 Index  (R1),WETFTXLT Index  (R1),TINSALLO Index  (R2),JSIABOND Index  (R1),PDPPC711 Index  (R1),SOFRVOLU Index  (L4),1482 JT Equity  (R4)
2020-07-28,0.6036,,,,41.5,287.15,1.8615,,,,,,2518
2020-07-27,0.6151,,,-34.282,41.6,288.8,1.8505,,,,,973,2524
2020-07-24,0.5888,,,-34.773,41.29,288.2,1.8724,,,,,950,
2020-07-23,0.5774,,,,41.07,292.45,1.852,,,,,942,
2020-07-22,0.5971,3703148,762733,-34.745,41.9,290.85,1.876,,,,,1031,2522
2020-07-21,0.6004,,,,41.96,294.1,1.876,,,,,963,2520
2020-07-20,0.6102,,,,40.81,289.85,1.845,,21,,,975,2519
2020-07-17,0.6266,,,-34.708,40.59,288.75,1.8685,,,,,988,2521
2020-07-16,0.6168,,,-34.475,40.75,288.6,1.818,,,,,957,2519
2020-07-15,0.6299,3685726,758503,-34.667,41.2,287.05,1.818,12780,,,5762,939,2518
2020-07-14,0.6233,,,-35.425,40.29,291.6,1.834,,,,,972,2518
2020-07-13,0.6184,,,,40.1,294.2,1.844,,23,,,960,2517
2020-07-10,0.6447,,,-35.482,40.55,288.7,1.8015,,,1065.7,,942,2521
2020-07-09,0.6135,,,-35.468,39.62,282.8,1.819,,,,,984,2514
2020-07-08,0.6644,3762085,764875,,40.9,281.45,1.846,21391,,,12667,954,2524
2020-07-07,0.6397,,,,40.62,278.75,1.861,,,,,969,2520
2020-07-06,0.6759,,,-35.382,40.63,276.6,1.891,,23,,,977,2517
2020-07-03,,,,,,,,,,-520.7,,,2524
2020-07-02,0.6693,,,-35.18,40.65,273.35,1.881,,,,,952,2520
2020-07-01,0.6758,3763714,761081,-36.774,39.82,271.7,1.839,16438,,,3946,1003,2522
2020-06-30,0.6561,,,,39.27,271.35,1.801,,,,,970,2529
2020-06-29,0.6234,,,,39.7,267.95,1.787,,17,,,940,2525
2020-06-26,0.6413,,,-39.453,38.49,267.2,1.8064,,,196.2,,938,2519
2020-06-25,0.6856,,,-46.631,38.72,266.25,1.833,,,,,984,2518
2020-06-24,0.679,3786166,765792,,38.01,265.05,1.819,22216,,,253,1015,2514
2020-06-23,0.7118,,,-45.9,40.37,266,1.855,,,,,992,2516
2020-06-22,0.7085,,,-45.782,40.46,265.55,1.831,,15,,,1024,2517
2020-06-19,0.6937,,,,39.75,261.5,1.7926,,,1547.5,,963,2516
2020-06-18,0.7084,,,,38.84,259.1,1.774,,,,,1046,2514
2020-06-17,0.738,3787226,764725,-45.509,37.96,259.2,1.763,16021,,,1299,1012,2508
2020-06-16,0.7528,,,-45.354,38.38,256.6,1.787,,,,,986,2507
2020-06-15,0.7215,,,,37.12,256.85,1.763,,19,,,1000,2520
2020-06-12,0.7034,,,-48.441,36.26,260.15,1.7526,,,1682.9,,969,2511
2020-06-11,0.669,,,-48.433,36.34,258.65,1.7725,,,,,1009,2514
2020-06-10,0.7263,3822652,761365,-48.442,39.6,265.7,1.824,21378,,,-742,1008,2494
2020-06-09,0.8253,,,-48.466,38.94,260.05,1.8175,,,,,1034,2490
2020-06-08,0.8752,,,,38.19,257,1.9025,,21,,,1032,2480
2020-06-05,0.8951,,,-49.137,39.55,255.7,1.8496,,,1046.1,,1021,2491
2020-06-04,0.8234,,,-53.761,37.41,249.3,1.852,,,,,1067,2507
2020-06-03,0.7458,3859974,757510,-52.184,37.29,249.65,1.828,22884,,,-9580,1024,2516
2020-06-02,0.6852,,,,36.81,249.45,1.791,,,,,1054,2524
2020-06-01,0.6591,,,-52.798,35.44,247.45,1.807,,21,,,1104,2526
2020-05-29,0.6526,,,-51.159,35.49,242.65,1.7372,,,-497.7,,1061,2523
