,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés
,,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois
,03/06/16,,,,,,,,,,,"-0,31","-0,32",0,,,"-0,25",,"-0,19",,"-0,05",,,,,,,,,,"-0,02",,,,,,,,,,,,,,"0,02",,,,,,"0,22"
,10/06/16,,,,,,,,,,,"-0,39","-0,18",,"-0,19",,"-0,29",,"-0,21",,"-0,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17/06/16,,,,,,,,,,"-0,15","-0,21",,"0,21",,,"-0,31",,,,"-0,08",,,,,,,,,,"0,01",,,,,,,,,,,,,,,,,,,,"0,41"
,24/06/16,,,,,,,,,,,"-0,32","-0,38",,"-0,38",,"-0,29",,"-0,22",,"-0,01",,,,,,,,,,"0,03",,,,,,,,,,,,,,,,"-0,25",,,,"0,47"
,01/07/16,,,,,,"-0,18",,,,"-0,21","-0,28",,,"-0,34","-0,07","-0,32",,,,"-0,14",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,19",,,,"0,31"
,08/07/16,,,,,,"-0,2",,"-0,2",,,"-0,4","-0,2",,"0,12","-0,34","-0,33",,"-0,24","-0,19","-0,13",,,,,,"-0,19",,,,,,,,,"-0,26",,,,,,,,,,,,,,,
,15/07/16,,,,,,"-0,33",,"-0,23",,"-0,21","-0,42","-0,13",,,,"-0,26",,"-0,24",,"-0,08",,,,,,"-0,2",,,,"0,03",,,,,,,,,,,,,,,,,,,,
,22/07/16,,,,,,"-0,22",,"-0,24",,"-0,13","-0,4","-0,2",,"-0,39","-0,34","-0,19",,,"-0,18","-0,08",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,29/07/16,,,,,,,,,,"-0,16","-0,33",,,"-0,34",,"-0,25","-0,24","-0,06",,"-0,05",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,1",,,,"0,04"
,05/08/16,,,,,,,,,,"-0,11","-0,26","-0,23",,,,"-0,28",,"-0,2",,"-0,08",,,,,,,,,,"0,01",,,,,,,,,,,,,,,,,,,,"0,01"
,12/08/16,,,,,,,,,,"-0,15","-0,4","-0,18",,,,"-0,26",,"-0,22",,"-0,07",,,,,,,,,,"0,01",,,,,,,,,,,,,,,,,,,,
,19/08/16,,,,,,,,"-0,26",,"-0,17","-0,41",,,,,"-0,25","-0,27","-0,19","-0,15","-0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26/08/16,,,,,,,,"-0,24",,"-0,17","-0,42","0,01",,"-0,38",,"-0,33",,"-0,2",,"-0,1",,,,,,"-0,24",,,,,,,,,,,,,,,,,,,,,,,,
,02/09/16,,,,,,,,"-0,27",,"-0,08","-0,44",,,,,"-0,32",,"-0,18",,"-0,07",,,,,,,,,,"-0,04",,,,,,,,,,,,,,,,,,"0,29",,
,09/09/16,,,,,,,,"-0,25",,"-0,15","-0,35","-0,05",,,"0,09","-0,19",,"-0,13",,"-0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16/09/16,,,,,,,,"-0,27",,"-0,16","-0,45",,"-0,38",,,"-0,33","-0,3","-0,25",,"-0,08",,,,,,,,,,"-0,06",,,,,,,,,,,,,,,,,,,,"0,02"
,23/09/16,,,,,,,,,,"-0,11","-0,38","-0,17",,"-0,38",,"-0,32",,,,"-0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07"
,30/09/16,,,,,,,,,,,"-0,41","-0,44",,"-0,37",,"-0,37",,"-0,24",,"-0,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07/10/16,,,,,,,,,,"-0,21","-0,41","-0,38",,,,"-0,3",,"-0,27",,"-0,13",,,,,,,,,,"-0,09",,,,,,,,,,,,,,,,,,,,
,14/10/16,,,,,,,,,,"-0,15","-0,42","-0,42","-0,45",,,"-0,33",,"-0,23",,"-0,15",,,,,,,,,,"-0,09",,,,,,,,,,,,,,,,,,,,
,21/10/16,,,,,,"-0,34",,,,"-0,19","-0,4","-0,41",,,,"-0,24",,"-0,27","-0,24","-0,17",,,,,,"-0,26",,,,"-0,08",,,,,,,,,,,,,,,,,,,,
,28/10/16,,,,,,,,"-0,24",,,"-0,39","-0,42",,"-0,39",,"-0,35","0,02","-0,31","-0,23","-0,19",,,,,,,,,,"-0,09",,,,,,,,,,,,,,,,,,,,
,04/11/16,,,,,,,,,,"-0,14","-0,4","-0,41",,,"-0,34","-0,38",,,,"-0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/16,,,,,,,,"-0,18",,"-0,18","-0,42","-0,42","-0,34","-0,35","-0,07","-0,34",,"-0,28",,"-0,19",,,,,,"-0,3",,,,,,,,,,,,,,,,,,,,,,,,
,18/11/16,,,,,,,,"-0,22",,"-0,2","-0,41","-0,42",,,"-0,32","-0,29",,"-0,3",,"-0,12",,,,,,,,,,,,,,,,,,,,,,,,,,"-0,27",,,,
