,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1+  F1+  P-1  R-1Hi  R-1Mi,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-1  F1  R-1Lo SR0,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-2  F2  P-2  R-2Hi  R-2Mi  R-2Lo SR1,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,A-3  F3  P-3  NP  B  C  D  R-3  R-4Sp  R-5Hs SR2 SR3 SR4 SR5 SRD,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés,Non notés
,,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois,1 jour,1 semaine,2 semaines,1 mois,2 mois,3 mois,4 mois,6 mois,9 mois,12 mois
,03/06/2016,,,,,,,,,,,"4,529","1,800",503,,,"1,653",,91,,"1,749",,,,,,,,,,300,,,,,,,,,,,,,,7,,,,,,7
,10/06/2016,,,,,,,,,,,"4,993","1,802",,11,,908,,72,,"2,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17/06/2016,,,,,,,,,,10,"4,167",,2,,,"1,142",,,,851,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,2
,24/06/2016,,,,,,,,,,,"9,632",814,,534,,"1,033",,46,,510,,,,,,,,,,190,,,,,,,,,,,,,,,,71,,,,1
,01/07/2016,,,,,,173,,,,58,"11,692",,,97,122,"1,184",,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,52
,08/07/2016,,,,,,525,,231,,,"4,571","3,201",,2,76,"1,114",,172,41,"1,943",,,,,,160,,,,,,,,,"1,800",,,,,,,,,,,,,,,
,15/07/2016,,,,,,93,,182,,278,"1,986","1,550",,,,342,,43,,"3,388",,,,,,249,,,,355,,,,,,,,,,,,,,,,,,,,
,22/07/2016,,,,,,385,,422,,200,"4,846",843,,634,27,377,,,13,"1,805",,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,
,29/07/2016,,,,,,,,,,562,"5,609",,,386,,"2,232",76,111,,"2,326",,,,,,,,,,,,,,,,,,,,,,,,,,293,,,,26
,05/08/2016,,,,,,,,,,707,"5,869","2,151",,,,759,,716,,"3,112",,,,,,,,,,539,,,,,,,,,,,,,,,,,,,,71
,12/08/2016,,,,,,,,,,257,"1,260","3,301",,,,826,,699,,"3,824",,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,
,19/08/2016,,,,,,,,300,,39,"2,326",,,,,344,155,623,132,"1,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26/08/2016,,,,,,,,140,,266,"3,270","1,079",,705,,"1,057",,"1,055",,"2,698",,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,02/09/2016,,,,,,,,213,,212,"2,880",,,,,"1,480",,187,,"3,958",,,,,,,,,,136,,,,,,,,,,,,,,,,,,7,,
,09/09/2016,,,,,,,,690,,"1,149","4,318","1,803",,,4,832,,547,,"3,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
