Date,Open Price,High Price,Low Price,Closing Price 1 Day Ago
2020-08-17,-0.13,-0.124,-0.149,-0.129
2020-08-14,-0.118,-0.109,-0.135,-0.124
2020-08-13,-0.18,-0.115,-0.19,-0.174
2020-08-12,-0.198,-0.157,-0.198,-0.202
2020-08-11,-0.237,-0.19,-0.243,-0.238
2020-08-10,-0.21,-0.199,-0.247,-0.214
2020-08-07,-0.228,-0.211,-0.24,-0.227
2020-08-06,-0.199,-0.193,-0.241,-0.201
2020-08-05,-0.239,-0.193,-0.24,-0.239
2020-08-04,-0.204,-0.199,-0.245,-0.203
2020-08-03,-0.198,-0.182,-0.207,-0.192
2020-07-31,-0.224,-0.184,-0.232,-0.217
2020-07-30,-0.185,-0.184,-0.225,-0.182
2020-07-29,-0.198,-0.176,-0.206,-0.196
2020-07-28,-0.182,-0.169,-0.204,-0.187
2020-07-27,-0.143,-0.137,-0.19,-0.147
2020-07-24,-0.183,-0.133,-0.195,-0.181
2020-07-23,-0.183,-0.177,-0.193,-0.183
2020-07-22,-0.158,-0.154,-0.195,-0.161
2020-07-21,-0.16,-0.149,-0.175,-0.164
2020-07-20,-0.135,-0.124,-0.177,-0.138
2020-07-17,-0.152,-0.138,-0.167,-0.151
2020-07-16,-0.139,-0.125,-0.166,-0.134
2020-07-15,-0.125,-0.118,-0.15,-0.132
2020-07-14,-0.11,-0.107,-0.136,-0.102
2020-07-13,-0.136,-0.092,-0.139,-0.138
2020-07-10,-0.147,-0.138,-0.157,-0.141
2020-07-09,-0.123,-0.121,-0.15,-0.126
2020-07-08,-0.128,-0.122,-0.144,-0.119
2020-07-07,-0.132,-0.096,-0.138,-0.119
2020-07-06,-0.103,-0.098,-0.126,-0.108
2020-07-03,-0.114,-0.103,-0.133,-0.11
2020-07-02,-0.059,-0.051,-0.118,-0.061
2020-07-01,-0.104,-0.052,-0.104,-0.111
2020-06-30,-0.124,-0.11,-0.147,-0.122
2020-06-29,-0.118,-0.106,-0.129,-0.127
2020-06-26,-0.125,-0.118,-0.136,-0.123
2020-06-25,-0.113,-0.109,-0.129,-0.103
2020-06-24,-0.078,-0.059,-0.11,-0.084
2020-06-23,-0.113,-0.079,-0.114,-0.118
2020-06-22,-0.091,-0.081,-0.132,-0.088
2020-06-19,-0.078,-0.056,-0.094,-0.073
2020-06-18,-0.054,-0.04,-0.08,-0.046
2020-06-17,-0.045,-0.02,-0.065,-0.05
2020-06-16,-0.029,-0.025,-0.06,-0.04
2020-06-15,-0.06,-0.037,-0.066,-0.039
2020-06-12,0,0.008,-0.044,0
2020-06-11,0.036,0.048,-0.021,0.078
2020-06-10,0.085,0.092,0.057,0.078
2020-06-09,0.047,0.078,0.028,0.044
2020-06-08,0.082,0.101,0.044,0.017
2020-06-05,0.004,0.038,-0.007,-0.001
2020-06-04,0.006,0.02,-0.047,0.004
2020-06-03,-0.019,0.014,-0.041,-0.048
2020-06-02,-0.041,-0.033,-0.061,-0.026
2020-06-01,-0.063,-0.017,-0.063,-0.078
2020-05-29,-0.06,-0.05,-0.09,-0.059
2020-05-28,-0.015,-0.003,-0.063,-0.009
2020-05-27,-0,0.016,-0.023,0.008
2020-05-26,-0.022,0.018,-0.023,-0.043
2020-05-25,-0.034,-0.033,-0.048,-0.033
2020-05-22,-0.061,-0.032,-0.069,-0.056
2020-05-21,-0.056,-0.016,-0.057,-0.032
2020-05-20,-0.015,0.002,-0.038,-0.016
2020-05-19,-0.01,0.006,-0.037,0.001
2020-05-18,-0.024,0.014,-0.048,-0.024
2020-05-15,-0.043,-0.021,-0.059,-0.044
2020-05-14,-0.062,-0.021,-0.07,-0.046
2020-05-13,-0.032,-0.03,-0.064,-0.022
2020-05-12,-0.002,0.018,-0.034,-0.007
2020-05-11,-0.036,-0.005,-0.036,-0.036
2020-05-08,-0.041,-0.031,-0.062,-0.027
2020-05-07,0.015,0.043,-0.038,0.008
2020-05-06,-0.059,0.013,-0.062,-0.065
2020-05-05,-0.059,-0.028,-0.071,-0.059
2020-05-04,-0.077,-0.037,-0.084,-0.11
2020-04-30,-0.046,-0.037,-0.111,-0.04
2020-04-29,0.014,0.017,-0.054,0.001
2020-04-28,0.012,0.042,-0.007,0.019
2020-04-27,0.02,0.043,-0.003,0.025
2020-04-24,0.059,0.082,0.02,0.081
2020-04-23,0.132,0.158,0.064,0.138
2020-04-22,0.078,0.139,0.077,0.075
2020-04-21,0.059,0.08,0.028,0.073
2020-04-20,0.037,0.085,0.024,0.032
2020-04-17,0.037,0.055,0.013,0.036
