"Date","30 year bond Current Matched Maturity Asset Swap","Germany 10 year Mat. Matched Swap Spread"
19-Jun-19,32.258,-47.858
20-Jun-19,32.765,-48.873
21-Jun-19,34.257,-48.786
24-Jun-19,34.395,-48.709
25-Jun-19,34.997,-48.725
26-Jun-19,33.877,-47.946
27-Jun-19,33.401,-47.799
28-Jun-19,31.525,-47.011
01-Jul-19,31.506,-48.485
02-Jul-19,32.02,-48.406
03-Jul-19,31.507,-46.493
05-Jul-19,31.48,-44.485
08-Jul-19,31.887,-44.351
09-Jul-19,32.014,-45.665
10-Jul-19,32.044,-45.098
11-Jul-19,32.759,-45.33
12-Jul-19,34.652,-45.823
15-Jul-19,34.762,-45.639
16-Jul-19,34.5,-43.544
17-Jul-19,35.008,-43.927
18-Jul-19,35.805,-44.39
19-Jul-19,35.49,-44.308
22-Jul-19,35.261,-44.951
23-Jul-19,36.263,-45.487
24-Jul-19,36.267,-44.671
25-Jul-19,37.54,-43.298
26-Jul-19,35.886,-44.262
29-Jul-19,36.814,-44.776
30-Jul-19,37.276,-44.777
31-Jul-19,35.392,-45.162
01-Aug-19,37.591,-44.336
02-Aug-19,38.172,-43.1
05-Aug-19,42.814,-43.448
06-Aug-19,39.024,-44.787
07-Aug-19,41.287,-44.291
08-Aug-19,44.357,-44.262
09-Aug-19,40.994,-45.877
12-Aug-19,39.439,-46.235
13-Aug-19,38.856,-45.625
14-Aug-19,40.143,-43.051
15-Aug-19,41,-38.984
16-Aug-19,41.004,-35.018
19-Aug-19,41.004,-39.121
20-Aug-19,40.746,-41.188
21-Aug-19,39.237,-42.718
22-Aug-19,38.623,-44.492
23-Aug-19,39.652,-45.218
26-Aug-19,38.762,-45.218
27-Aug-19,39.176,-43.151
28-Aug-19,40.299,-40.883
29-Aug-19,41.112,-41.011
30-Aug-19,41.981,-42.553
03-Sep-19,43.395,-42.18
04-Sep-19,42.26,-42.494
05-Sep-19,41.353,-42.745
06-Sep-19,41.884,-42.411
09-Sep-19,41.134,-41.703
10-Sep-19,41.754,-41.607
11-Sep-19,42.022,-42.24
12-Sep-19,41.898,-43.164
13-Sep-19,40.868,-43.63
16-Sep-19,41.744,-42.295
17-Sep-19,42.371,-40.631
18-Sep-19,42.378,-40.212
19-Sep-19,42.264,-39.832
20-Sep-19,41.655,-39.947
23-Sep-19,42.002,-40.013
24-Sep-19,43.369,-39.999
25-Sep-19,43.496,-39.605
26-Sep-19,42.743,-41.278
27-Sep-19,40.516,-41.055
30-Sep-19,40.383,-41.744
01-Oct-19,40.043,-40.701
02-Oct-19,40.26,-40.002
03-Oct-19,40.788,-41.342
04-Oct-19,39.755,-41.41
07-Oct-19,39.005,-41.325
08-Oct-19,39.767,-41.918
09-Oct-19,39.891,-42.047
10-Oct-19,39.874,-40.051
11-Oct-19,37.355,-41.382
15-Oct-19,37.222,-39.975
16-Oct-19,38.267,-40.012
17-Oct-19,37.754,-40.243
18-Oct-19,36.274,-40.402
21-Oct-19,36.497,-40.359
22-Oct-19,36.75,-40.097
23-Oct-19,37.632,-38.677
24-Oct-19,37.624,-40.006
25-Oct-19,37.924,-40.367
28-Oct-19,38.181,-40.098
29-Oct-19,38.481,-40.131
