"Date","Czechoslovakia IRS 6M Spot Fwd 2 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 3 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 4 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 5 Years Term Yield","Czechoslovakia IRS 6M Spot Fwd 10 Years Term Yield","Hungary IRS 6M Spot Fwd 2 Years Term Yield","Hungary IRS 6M Spot Fwd 3 Years Term Yield","Hungary IRS 6M Spot Fwd 4 Years Term Yield","Hungary IRS 6M Spot Fwd 5 Years Term Yield","Hungary IRS 6M Spot Fwd 10 Years Term Yield","Israel IRS Spot Fwd 2 Years Term Yield","Israel IRS Spot Fwd 3 Years Term Yield","Israel IRS Spot Fwd 4 Years Term Yield","Israel IRS Spot Fwd 5 Years Term Yield","Israel IRS Spot Fwd 10 Years Term Yield","Poland IRS 3M Spot Fwd 2 Years Term Yield","Poland IRS 3M Spot Fwd 3 Years Term Yield","Poland IRS 3M Spot Fwd 4 Years Term Yield","Poland IRS 3M Spot Fwd 5 Years Term Yield","Poland IRS 3M Spot Fwd 10 Years Term Yield","Sweden IRS Spot Fwd 2 Years Term Yield","Sweden IRS Spot Fwd 3 Years Term Yield","Sweden IRS Spot Fwd 4 Years Term Yield","Sweden IRS Spot Fwd 5 Years Term Yield","Sweden IRS Spot Fwd 10 Years Term Yield","South Africa IRS Spot Fwd 2 Years Term Yield","South Africa IRS Spot Fwd 3 Years Term Yield","South Africa IRS Spot Fwd 4 Years Term Yield","South Africa IRS Spot Fwd 5 Years Term Yield","South Africa IRS Spot Fwd 10 Years Term Yield","US $ 2 Years Term Spot Fwd Mid Rate","US $ 3 Years Term Spot Fwd Mid Rate","US $ 4 Years Term Spot Fwd Mid Rate","US $ 5 Years Term Spot Fwd Mid Rate","US $ 10 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 2 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 3 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 4 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 5 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Mid Rate"
05-Jun-15,0.46,0.565,0.688,0.8,1.26,1.642,1.842,2.105,2.4,3.325,0.31,0.545,0.808,1.09,2.205,1.931,2.141,2.331,2.496,2.958,-0.075,0.15,0.396,0.648,1.494,7.106,7.436,7.681,7.873,8.396,0.966,1.342,1.63,1.861,2.484,0.055,0.147,0.275,0.421,1.047
08-Jun-15,0.465,0.575,0.708,0.83,1.305,1.679,1.887,2.157,2.459,3.394,0.282,0.512,0.767,1.042,2.147,1.934,2.149,2.344,2.514,2.976,-0.065,0.164,0.415,0.672,1.53,7.083,7.415,7.66,7.855,8.375,0.941,1.308,1.596,1.829,2.461,0.071,0.17,0.302,0.453,1.102
09-Jun-15,0.475,0.598,0.735,0.86,1.345,1.764,1.979,2.254,2.561,3.504,0.304,0.541,0.796,1.071,2.191,1.95,2.173,2.368,2.538,3.02,-0.066,0.174,0.443,0.714,1.594,7.06,7.38,7.615,7.81,8.335,0.964,1.334,1.624,1.857,2.493,0.08,0.188,0.334,0.498,1.186
10-Jun-15,0.475,0.598,0.75,0.89,1.385,1.771,2.006,2.281,2.588,3.531,0.326,0.578,0.848,1.138,2.258,1.952,2.177,2.367,2.534,3.017,-0.064,0.183,0.459,0.738,1.632,7.05,7.385,7.63,7.83,8.375,0.986,1.367,1.667,1.91,2.555,0.077,0.186,0.332,0.5,1.213
11-Jun-15,0.465,0.585,0.728,0.855,1.355,1.729,1.974,2.239,2.509,3.442,0.31,0.562,0.835,1.125,2.25,1.938,2.153,2.338,2.495,2.95,-0.009,0.233,0.5,0.768,1.601,7.037,7.357,7.602,7.797,8.33,0.976,1.338,1.624,1.851,2.461,0.078,0.18,0.316,0.473,1.131
12-Jun-15,0.46,0.58,0.715,0.84,1.34,1.767,2.027,2.302,2.582,3.535,0.301,0.548,0.813,1.093,2.203,1.971,2.193,2.383,2.548,3.008,0.033,0.281,0.54,0.799,1.592,7.075,7.405,7.65,7.845,8.38,0.991,1.354,1.636,1.862,2.461,0.089,0.186,0.314,0.463,1.094
15-Jun-15,0.455,0.565,0.695,0.815,1.29,1.795,2.075,2.365,2.655,3.628,0.299,0.549,0.809,1.081,2.184,2.001,2.239,2.444,2.619,3.084,0.024,0.269,0.53,0.792,1.589,7.098,7.433,7.683,7.878,8.435,0.972,1.329,1.606,1.831,2.437,0.097,0.191,0.319,0.467,1.082
16-Jun-15,0.44,0.54,0.67,0.785,1.25,1.761,2.036,2.321,2.606,3.574,0.294,0.536,0.794,1.061,2.149,1.985,2.217,2.422,2.595,3.04,-0.003,0.244,0.511,0.772,1.584,7.098,7.433,7.683,7.878,8.435,0.956,1.306,1.581,1.802,2.401,0.09,0.182,0.308,0.455,1.084
17-Jun-15,0.44,0.54,0.662,0.775,1.24,1.741,2.021,2.311,2.594,3.554,0.31,0.56,0.823,1.095,2.201,1.994,2.229,2.434,2.606,3.041,0.003,0.25,0.521,0.784,1.606,7.117,7.467,7.722,7.922,8.482,0.921,1.269,1.54,1.764,2.394,0.085,0.176,0.303,0.453,1.091
18-Jun-15,0.44,0.535,0.655,0.77,1.24,1.711,1.981,2.273,2.558,3.513,0.275,0.518,0.778,1.038,2.143,1.988,2.215,2.405,2.565,3.005,-0.022,0.219,0.49,0.759,1.592,7.049,7.389,7.639,7.839,8.401,0.912,1.264,1.547,1.777,2.427,0.071,0.16,0.289,0.439,1.081
