Date,Issuer,Coupon,Maturity,Spread,Curr,Outst,Book Mgr,Note,Identifier
06/08,GRIFFON CORP,5.750,03/01/28,+499,USD,150,,8C CONT 144a,BJ941661 Corp
06/08,BANK NOVA SCOTIA,0.800,06/15/23,,USD,300,"SCOTIA,UBS",06/15/20,BJ941028 Corp
06/08,FANNIE MAE,0.800,06/17/25,,USD,30,MTBK-sole,INCREASE,BJ906287 Corp
06/08,EQUINIX INC,1.800,07/15/27,+115,USD,500,"BofA,GS,JPM",7C CONT,BJ931012 Corp
06/08,EQUINIX INC,1.250,07/15/25,+85,USD,500,"BofA,GS,JPM",5C CONT,BJ930988 Corp
06/08,EQUINIX INC,3.000,07/15/50,+145,USD,500,"BofA,GS,JPM",30C CONT,BJ931021 Corp
06/08,EQUINIX INC,2.150,07/15/30,+130,USD,1.1B,"BofA,GS,JPM",10C CONT,BJ931018 Corp
06/08,PHILLIPS 66,2.150,12/15/30,+130,USD,850,JOINT LEADS,11C CONT,BJ931733 Corp
06/08,PHILLIPS 66,3.850,04/09/25,+337.5,USD,650,JOINT LEADS,INCREASE,BH634654 Corp
06/08,SIRIUS XM RADIO,4.125,07/01/30,+325,USD,1.5B,,10C CONT,BJ928949 Corp
06/08,PRINCETON UNIV,2.516,07/01/50,+87,USD,500,"GS,JPM",30C CONT,BJ935891 Corp
06/08,LLOYDS BK GR PLC,VAR,06/15/23,+110,USD,1000,JOINT LEADS,3C BERM,BJ930460 Corp
06/08,NORTHERN ST PR-M,2.600,06/01/51,+105,USD,700,JOINT LEADS,31C CONT,BJ931860 Corp
06/08,DUKE ENERGY FLA,1.750,06/15/30,+90,USD,500,JOINT LEADS,10C CONT,BJ931157 Corp
06/08,PLAINS ALL AMER,3.800,09/15/30,+295,USD,750,JOINT LEADS,10C CONT,BJ931849 Corp
06/08,EBAY INC,2.700,03/11/30,+170,USD,950,"CS,JPM,MS",INCREASE,BG552198 Corp
06/08,EBAY INC,1.900,03/11/25,+120,USD,800,"CS,JPM,MS",INCREASE,BG552196 Corp
06/08,FREDDIE MAC,0.415,12/15/22,,USD,150,BofA-sole,2.5-NC6MOINC,BJ937974 Corp
06/08,ROPER TECHNOLOGI,2.000,06/30/30,+125,USD,600,JOINT LEADS,10C CONT,BJ931853 Corp
06/08,BRIXMOR OPERATIN,4.050,07/01/30,+320,USD,500,JOINT LEADS,10C CONT,BJ931843 Corp
06/08,INT DEV FIN CORP,FRN,08/13/27,,USD,14.6,WFS-sole,7C CONT 3,BJ891119 Corp
06/08,GEN ELECTRIC CO,4.350,05/01/50,+300,USD,3.75B,MS-sole,INCREASE,BH786157 Corp
06/08,GE CAP FUNDING,4.400,05/15/30,+370,USD,2.9B,MS-sole,INCREASE,BJ339317 Corp
06/08,MAGNA INTL INC,2.450,06/15/30,+162.5,USD,750,JOINT LEADS,10C CONT,BJ931648 Corp
