Investment Company Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly Total Net Assets (TNA) and Number of Money Market Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TOTAL - ALL MONEY MARKET FUNDS,,,,,,,,,,,,INSTITUTIONAL MONEY MARKET FUNDS,,,,,,,,,,,,RETAIL MONEY MARKET FUNDS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,TAX-EXEMPT,,GOVERNMENT,,,,,,PRIME,,TOTAL,,TAX-EXEMPT,,GOVERNMENT,,,,,,PRIME,,TOTAL,,TAX-EXEMPT,,GOVERNMENT,,,,,,PRIME,
,,,,,TOTAL,,TREASURY & REPO,,TREASURY & AGENCY,,,,,,,,TOTAL,,TREASURY & REPO,,TREASURY & AGENCY,,,,,,,,TOTAL,,TREASURY & REPO,,TREASURY & AGENCY,,,
,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA,# Classes,TNA
02/05/2020 ," 1,122 ","3,617,202", 208 ,"136,704", 673 ,"2,682,627", 225 ,"793,584", 448 ,"1,889,043", 241 ,"797,870", 541 ,"2,232,717", 36 ,"12,168", 369 ,"1,897,765", 170 ,"707,712", 199 ,"1,190,053", 136 ,"322,784", 581 ,"1,384,485", 172 ,"124,537", 304 ,"784,862", 55 ,"85,872", 249 ,"698,990", 105 ,"475,086"
02/12/2020 ," 1,122 ","3,625,122", 208 ,"135,367", 673 ,"2,683,687", 225 ,"789,870", 448 ,"1,893,817", 241 ,"806,069", 541 ,"2,238,602", 36 ,"11,675", 369 ,"1,898,423", 170 ,"703,742", 199 ,"1,194,681", 136 ,"328,504", 581 ,"1,386,521", 172 ,"123,692", 304 ,"785,265", 55 ,"86,129", 249 ,"699,136", 105 ,"477,564"
02/19/2020 ," 1,122 ","3,633,464", 208 ,"136,101", 673 ,"2,687,828", 225 ,"790,864", 448 ,"1,896,964", 241 ,"809,535", 541 ,"2,242,410", 36 ,"12,291", 369 ,"1,899,587", 170 ,"704,833", 199 ,"1,194,754", 136 ,"330,532", 581 ,"1,391,055", 172 ,"123,810", 304 ,"788,242", 55 ,"86,032", 249 ,"702,210", 105 ,"479,003"
02/26/2020 ," 1,119 ","3,634,116", 208 ,"135,098", 669 ,"2,697,115", 223 ,"794,141", 446 ,"1,902,974", 242 ,"801,902", 538 ,"2,239,567", 36 ,"11,529", 366 ,"1,904,921", 169 ,"707,261", 197 ,"1,197,660", 136 ,"323,116", 581 ,"1,394,549", 172 ,"123,569", 303 ,"792,194", 54 ,"86,880", 249 ,"705,314", 106 ,"478,786"
03/04/2020 ," 1,117 ","3,683,376", 208 ,"134,339", 669 ,"2,750,399", 223 ,"798,950", 446 ,"1,951,448", 240 ,"798,639", 538 ,"2,258,955", 36 ,"12,867", 366 ,"1,926,625", 169 ,"711,371", 197 ,"1,215,254", 136 ,"319,463", 579 ,"1,424,421", 172 ,"121,472", 303 ,"823,774", 54 ,"87,579", 249 ,"736,195", 104 ,"479,176"
03/11/2020 ," 1,118 ","3,777,325", 208 ,"134,503", 670 ,"2,844,731", 224 ,"831,048", 446 ,"2,013,683", 240 ,"798,092", 539 ,"2,344,918", 36 ,"12,879", 367 ,"2,011,263", 170 ,"741,698", 197 ,"1,269,565", 136 ,"320,777", 579 ,"1,432,407", 172 ,"121,624", 303 ,"833,468", 54 ,"89,349", 249 ,"744,119", 104 ,"477,315"
03/18/2020 ," 1,118 ","3,935,949", 208 ,"129,179", 670 ,"3,094,058", 224 ,"913,241", 446 ,"2,180,817", 240 ,"712,712", 539 ,"2,468,080", 36 ,"11,972", 367 ,"2,201,978", 170 ,"814,483", 197 ,"1,387,496", 136 ,"254,130", 579 ,"1,467,868", 172 ,"117,207", 303 ,"892,079", 54 ,"98,758", 249 ,"793,321", 104 ,"458,582"
03/25/2020 ," 1,118 ","4,221,654", 208 ,"123,706", 670 ,"3,438,943", 224 ,"1,060,353", 446 ,"2,378,590", 240 ,"659,004", 539 ,"2,710,243", 36 ,"11,321", 367 ,"2,475,587", 170 ,"943,994", 197 ,"1,531,592", 136 ,"223,335", 579 ,"1,511,411", 172 ,"112,385", 303 ,"963,357", 54 ,"116,359", 249 ,"846,998", 104 ,"435,669"
04/01/2020 ," 1,118 ","4,396,942", 208 ,"129,942", 670 ,"3,612,688", 224 ,"1,146,098", 446 ,"2,466,590", 240 ,"654,311", 539 ,"2,872,930", 36 ,"13,063", 367 ,"2,636,400", 170 ,"1,024,204", 197 ,"1,612,196", 136 ,"223,466", 579 ,"1,524,012", 172 ,"116,879", 303 ,"976,288", 54 ,"121,894", 249 ,"854,394", 104 ,"430,845"
04/08/2020 ," 1,117 ","4,474,619", 208 ,"136,029", 669 ,"3,677,223", 224 ,"1,171,976", 445 ,"2,505,247", 240 ,"661,367", 538 ,"2,936,426", 36 ,"14,114", 366 ,"2,691,788", 170 ,"1,049,668", 196 ,"1,642,120", 136 ,"230,524", 579 ,"1,538,193", 172 ,"121,916", 303 ,"985,435", 54 ,"122,308", 249 ,"863,127", 104 ,"430,842"
04/15/2020 ," 1,117 ","4,524,145", 208 ,"139,353", 669 ,"3,716,452", 224 ,"1,186,818", 445 ,"2,529,634", 240 ,"668,340", 538 ,"2,980,938", 36 ,"14,577", 366 ,"2,730,526", 170 ,"1,065,619", 196 ,"1,664,907", 136 ,"235,835", 579 ,"1,543,207", 172 ,"124,776", 303 ,"985,925", 54 ,"121,198", 249 ,"864,727", 104 ,"432,506"
04/22/2020 ," 1,117 ","4,651,685", 208 ,"139,147", 669 ,"3,825,152", 224 ,"1,226,594", 445 ,"2,598,558", 240 ,"687,387", 538 ,"3,103,900", 36 ,"14,682", 366 ,"2,838,786", 170 ,"1,105,149", 196 ,"1,733,637", 136 ,"250,431", 579 ,"1,547,785", 172 ,"124,464", 303 ,"986,366", 54 ,"121,444", 249 ,"864,922", 104 ,"436,955"
04/29/2020 ," 1,117 ","4,733,891", 208 ,"136,293", 669 ,"3,898,632", 224 ,"1,241,538", 445 ,"2,657,094", 240 ,"698,967", 538 ,"3,179,811", 36 ,"13,931", 366 ,"2,909,836", 170 ,"1,121,412", 196 ,"1,788,423", 136 ,"256,044", 579 ,"1,554,080", 172 ,"122,362", 303 ,"988,797", 54 ,"120,126", 249 ,"868,671", 104 ,"442,922"
05/06/2020 ," 1,117 ","4,768,169", 208 ,"135,813", 669 ,"3,917,836", 224 ,"1,240,273", 445 ,"2,677,563", 240 ,"714,521", 538 ,"3,205,029", 36 ,"14,620", 366 ,"2,924,574", 170 ,"1,119,781", 196 ,"1,804,793", 136 ,"265,836", 579 ,"1,563,140", 172 ,"121,193", 303 ,"993,262", 54 ,"120,492", 249 ,"872,770", 104 ,"448,684"
05/13/2020 ," 1,119 ","4,787,944", 208 ,"134,895", 671 ,"3,924,420", 224 ,"1,235,329", 447 ,"2,689,092", 240 ,"728,628", 538 ,"3,220,291", 36 ,"14,608", 366 ,"2,930,925", 170 ,"1,115,967", 196 ,"1,814,958", 136 ,"274,759", 581 ,"1,567,653", 172 ,"120,288", 305 ,"993,495", 54 ,"119,362", 251 ,"874,134", 104 ,"453,870"
05/20/2020 ," 1,118 ","4,789,354", 208 ,"135,314", 671 ,"3,911,569", 224 ,"1,238,195", 447 ,"2,673,374", 239 ,"742,471", 538 ,"3,211,709", 36 ,"15,067", 366 ,"2,912,335", 170 ,"1,118,177", 196 ,"1,794,158", 136 ,"284,308", 580 ,"1,577,644", 172 ,"120,247", 305 ,"999,234", 54 ,"120,018", 251 ,"879,216", 103 ,"458,163"
05/27/2020 ," 1,113 ","4,788,146", 208 ,"134,486", 666 ,"3,903,135", 224 ,"1,233,508", 442 ,"2,669,627", 239 ,"750,525", 538 ,"3,218,118", 36 ,"14,677", 366 ,"2,911,618", 170 ,"1,118,637", 196 ,"1,792,981", 136 ,"291,823", 575 ,"1,570,028", 172 ,"119,809", 300 ,"991,517", 54 ,"114,871", 246 ,"876,646", 103 ,"458,702"
06/03/2020 ," 1,113 ","4,751,844", 208 ,"134,360", 666 ,"3,859,974", 224 ,"1,212,911", 442 ,"2,647,063", 239 ,"757,510", 538 ,"3,184,192", 36 ,"15,114", 366 ,"2,872,246", 170 ,"1,099,435", 196 ,"1,772,810", 136 ,"296,832", 575 ,"1,567,653", 172 ,"119,247", 300 ,"987,729", 54 ,"113,476", 246 ,"874,253", 103 ,"460,677"
06/10/2020 ," 1,113 ","4,717,797", 208 ,"133,780", 666 ,"3,822,652", 224 ,"1,206,817", 442 ,"2,615,835", 239 ,"761,365", 538 ,"3,156,687", 36 ,"14,816", 366 ,"2,841,289", 170 ,"1,093,962", 196 ,"1,747,326", 136 ,"300,583", 575 ,"1,561,109", 172 ,"118,965", 300 ,"981,363", 54 ,"112,854", 246 ,"868,509", 103 ,"460,782"
06/17/2020 ," 1,113 ","4,684,614", 208 ,"132,663", 666 ,"3,787,226", 224 ,"1,194,421", 442 ,"2,592,805", 239 ,"764,725", 538 ,"3,121,549", 36 ,"14,541", 366 ,"2,802,977", 170 ,"1,080,595", 196 ,"1,722,383", 136 ,"304,030", 575 ,"1,563,065", 172 ,"118,121", 300 ,"984,249", 54 ,"113,826", 246 ,"870,422", 103 ,"460,695"
